id,title,code,section,instructor,credit_hours,program,target_department,parent_department,type,repeat,lectures
79,Functional Eng Lab,SL1012,BCS-1D2,Maryam Ahmed,1,BS,CS,CS,Core,False,"[{'day': 'Tuesday', 'start_time': '13:00', 'end_time': '14:20', 'room': 'Eng Lab-2'}, {'day': 'Thursday', 'start_time': '13:00', 'end_time': '14:20', 'room': 'Eng Lab-2'}]"
80,Functional Eng Lab,SL1012,BCS-1E1,Rafia Dastagir (VF),1,BS,CS,CS,Core,False,"[{'day': 'Tuesday', 'start_time': '14:30', 'end_time': '15:50', 'room': 'Eng Lab-1'}, {'day': 'Thursday', 'start_time': '14:30', 'end_time': '15:50', 'room': 'Eng Lab-1'}]"
81,Functional Eng Lab,SL1012,BCS-1E2,Maryam Ahmed,1,BS,CS,HSS,Core,False,"[{'day': 'Tuesday', 'start_time': '14:30', 'end_time': '15:50', 'room': 'Eng Lab-2'}, {'day': 'Thursday', 'start_time': '14:30', 'end_time': '15:50', 'room': 'Eng Lab-2'}]"
82,Functional Eng Lab,SL1012,BCS-1F1,Rafia Dastagir (VF),1,BS,CS,CS,Core,False,"[{'day': 'Tuesday', 'start_time': '16:00', 'end_time': '17:20', 'room': 'Eng Lab-3'}, {'day': 'Thursday', 'start_time': '16:00', 'end_time': '17:20', 'room': 'Eng Lab-3'}]"
83,Functional Eng Lab,SL1012,BCS-1F2,Maryam Ahmed,1,BS,CS,CS,Core,False,"[{'day': 'Tuesday', 'start_time': '16:00', 'end_time': '17:20', 'room': 'Eng Lab-4'}, {'day': 'Thursday', 'start_time': '16:00', 'end_time': '17:20', 'room': 'Eng Lab-4'}]"
84,Functional Eng Lab,SL1012,BCS-1G1,Menahil Ramzan (VF),1,BS,CS,CS,Core,False,"[{'day': 'Tuesday', 'start_time': '08:30', 'end_time': '09:50', 'room': 'Eng Lab-3'}, {'day': 'Thursday', 'start_time': '08:30', 'end_time': '09:50', 'room': 'Eng Lab-3'}]"
85,Functional Eng Lab,SL1012,BCS-1G2,Areeba (VF),1,BS,CS,CS,Core,False,"[{'day': 'Tuesday', 'start_time': '08:30', 'end_time': '09:50', 'room': 'Eng Lab-4'}, {'day': 'Thursday', 'start_time': '08:30', 'end_time': '09:50', 'room': 'Eng Lab-4'}]"
86,Functional Eng Lab,SL1012,BCS-1H1,Menahil Ramzan (VF),1,BS,CS,CS,Core,False,"[{'day': 'Tuesday', 'start_time': '10:00', 'end_time': '11:20', 'room': 'Eng Lab-5'}, {'day': 'Thursday', 'start_time': '10:00', 'end_time': '11:20', 'room': 'Eng Lab-5'}]"
87,Functional Eng Lab,SL1012,BCS-1H2,Areeba (VF),1,BS,CS,CS,Core,False,"[{'day': 'Tuesday', 'start_time': '10:00', 'end_time': '11:20', 'room': 'Eng Lab-6'}, {'day': 'Thursday', 'start_time': '10:00', 'end_time': '11:20', 'room': 'Eng Lab-6'}]"
88,Functional Eng Lab,SL1012,BCS-1J1,VF,1,BS,CS,CS,Core,False,"[{'day': 'Tuesday', 'start_time': '13:00', 'end_time': '14:20', 'room': 'Eng Lab-3'}, {'day': 'Thursday', 'start_time': '13:00', 'end_time': '14:20', 'room': 'Eng Lab-3'}]"
89,Functional Eng Lab,SL1012,BCS-1J2,VF,1,BS,CS,CS,Core,False,"[{'day': 'Tuesday', 'start_time': '13:00', 'end_time': '14:20', 'room': 'Eng Lab-4'}, {'day': 'Thursday', 'start_time': '13:00', 'end_time': '14:20', 'room': 'Eng Lab-4'}]"
90,Data Structures,CS2001,BCS-3A,Mr. Rana Waqas Ali,3,BS,CS,CS,Core,False,"[{'day': 'Monday', 'start_time': '13:00', 'end_time': '14:20', 'room': 'F-301'}, {'day': 'Wednesday', 'start_time': '13:00', 'end_time': '14:20', 'room': 'F-301'}]"
91,Data Structures,CS2001,BCS-3B,Ms. Arooj Khalil,3,BS,CS,CS,Core,False,"[{'day': 'Tuesday', 'start_time': '10:00', 'end_time': '11:20', 'room': 'F-203'}, {'day': 'Thursday', 'start_time': '10:00', 'end_time': '11:20', 'room': 'F-209'}]"
92,Data Structures,CS2001,BCS-3C,Mr. Razi Uddin (VF),3,BS,CS,CS,Core,False,"[{'day': 'Monday', 'start_time': '10:00', 'end_time': '11:20', 'room': 'F-304'}, {'day': 'Wednesday', 'start_time': '10:00', 'end_time': '11:20', 'room': 'F-304'}]"
93,Data Structures,CS2001,BCS-3D,Mr. Uzair Naqvi,3,BS,CS,CS,Core,False,"[{'day': 'Monday', 'start_time': '13:00', 'end_time': '14:20', 'room': 'F-304'}, {'day': 'Wednesday', 'start_time': '13:00', 'end_time': '14:20', 'room': 'F-304'}]"
94,Data Structures,CS2001,BCS-3E,Dr. Zareen Alamgir,3,BS,CS,CS,Core,False,"[{'day': 'Monday', 'start_time': '08:30', 'end_time': '09:50', 'room': 'F-206'}, {'day': 'Wednesday', 'start_time': '08:30', 'end_time': '09:50', 'room': 'F-206'}]"
95,Data Structures,CS2001,BCS-3F,Dr. Zareen Alamgir,3,BS,CS,CS,Core,False,"[{'day': 'Monday', 'start_time': '11:30', 'end_time': '12:50', 'room': 'F-206'}, {'day': 'Wednesday', 'start_time': '11:30', 'end_time': '12:50', 'room': 'F-206'}]"
96,Data Structures,CS2001,BCS-3G,Dr. Faisal Aslam,3,BS,CS,CS,Core,False,"[{'day': 'Tuesday', 'start_time': '10:00', 'end_time': '11:20', 'room': 'F-207'}, {'day': 'Thursday', 'start_time': '10:00', 'end_time': '11:20', 'room': 'F-207'}]"
97,Data Structures,CS2001,BCS-3H,Dr. Faisal Aslam,3,BS,CS,CS,Core,False,"[{'day': 'Tuesday', 'start_time': '11:30', 'end_time': '12:50', 'room': 'F-207'}, {'day': 'Thursday', 'start_time': '11:30', 'end_time': '12:50', 'room': 'F-207'}]"
98,Computer Organization and Assembly Language,EE2003,BCS-3A,Ms. Aleena Ahmad,3,BS,CS,CS,Core,False,"[{'day': 'Tuesday', 'start_time': '14:30', 'end_time': '15:50', 'room': 'F-202'}, {'day': 'Thursday', 'start_time': '14:30', 'end_time': '15:50', 'room': 'F-202'}]"
99,Computer Organization and Assembly Language,EE2003,BCS-3B,Ms. Aleena Ahmad,3,BS,CS,CS,Core,False,"[{'day': 'Tuesday', 'start_time': '13:00', 'end_time': '14:20', 'room': 'C-4'}, {'day': 'Thursday', 'start_time': '13:00', 'end_time': '14:20', 'room': 'C-4'}]"
100,Computer Organization and Assembly Language,EE2003,BCS-3C,Ms. Aleena Ahmad,3,BS,CS,CS,Core,False,"[{'day': 'Monday', 'start_time': '14:30', 'end_time': '15:50', 'room': 'F-308'}, {'day': 'Wednesday', 'start_time': '14:30', 'end_time': '15:50', 'room': 'F-308'}]"
101,Computer Organization and Assembly Language,EE2003,BCS-3D,Dr. Aatira Anum Ahmed,3,BS,CS,CS,Core,False,"[{'day': 'Tuesday', 'start_time': '10:00', 'end_time': '11:20', 'room': 'F-303'}, {'day': 'Thursday', 'start_time': '10:00', 'end_time': '11:20', 'room': 'F-303'}]"
102,Computer Organization and Assembly Language,EE2003,BCS-3E,Dr. Aatira Anum Ahmed,3,BS,CS,CS,Core,False,"[{'day': 'Tuesday', 'start_time': '13:00', 'end_time': '14:20', 'room': 'F-303'}, {'day': 'Thursday', 'start_time': '13:00', 'end_time': '14:20', 'room': 'F-303'}]"
103,Computer Organization and Assembly Language,EE2003,BCS-3F,Zummar Saad,3,BS,CS,CS,Core,False,"[{'day': 'Tuesday', 'start_time': '11:30', 'end_time': '12:50', 'room': 'F-307'}, {'day': 'Friday', 'start_time': '10:00', 'end_time': '11:20', 'room': 'F-205'}]"
104,Computer Organization and Assembly Language,EE2003,BCS-3G,Zummar Saad,3,BS,CS,CS,Core,False,"[{'day': 'Tuesday', 'start_time': '13:00', 'end_time': '14:20', 'room': 'F-307'}, {'day': 'Friday', 'start_time': '11:30', 'end_time': '12:50', 'room': 'F-205'}]"
105,Computer Organization and Assembly Language,EE2003,BCS-3H,Ms. Samin Iftikhar,3,BS,CS,CS,Core,False,"[{'day': 'Monday', 'start_time': '08:30', 'end_time': '09:50', 'room': 'F-204'}, {'day': 'Wednesday', 'start_time': '08:30', 'end_time': '09:50', 'room': 'F-204'}]"
